1.1093,-0.506918,5.66591,-0.311899,-0.246531,-0.0013751
1.13174,-0.429334,5.66358,-0.299808,-0.249327,-0.00285088
1.13276,-0.423904,5.65438,-0.299023,-0.249315,-0.00332357
1.12933,-0.417575,5.65665,-0.294599,-0.247844,-0.00397488
1.12666,-0.425696,5.6502,-0.29768,-0.246775,-0.00150677
1.12839,-0.45164,5.76515,-0.304662,-0.246105,-0.000210325
1.14619,-0.42025,5.58526,-0.299514,-0.254279,-0.0020137
1.10928,-0.435796,5.66721,-0.301939,-0.241844,0.000862476
1.11646,-0.417737,5.66871,-0.295805,-0.244355,-0.00384825
1.13092,-0.42443,5.69783,-0.297236,-0.246461,-0.00175
1.08583,-0.414458,5.81306,-0.296602,-0.23632,-0.00310898
1.12141,-0.42428,5.68014,-0.297286,-0.245312,-0.00486932
1.22226,-0.336381,5.79096,-0.27373,-0.25404,-0.00758812
1.26749,-0.369096,5.72908,-0.277239,-0.23661,-0.00922051
1.16762,-0.294974,5.61083,-0.269183,-0.241236,-0.00573502
1.15264,-0.306011,5.68439,-0.270597,-0.230485,-0.00824399
1.16574,-0.376966,5.68959,-0.285205,-0.244674,-0.00558798
1.15957,-0.417393,5.65065,-0.300125,-0.249473,-0.000708836
1.1303,-0.427777,5.67099,-0.300236,-0.245153,-0.00090315
0.947326,-0.240105,5.6306,-0.26809,-0.207432,-0.00372339
0.915709,-0.19977,5.59509,-0.265257,-0.208894,-0.00170515
1.26477,-0.248556,5.78722,-0.256232,-0.22795,-0.0112537
1.90109,-0.323722,4.73936,-0.277354,-0.290501,-0.0399014
1.04747,0.047011,4.11081,-0.24698,-0.178217,-0.0351879
-1.06048,0.142586,3.82264,-0.212501,0.0999654,0.0515724
-2.44187,0.0835501,1.56216,-0.210417,0.343863,0.0951306
-4.20645,0.143655,-0.804138,-0.239401,0.555681,0.141335
-3.81748,0.160303,-2.46544,-0.248974,0.39152,0.170113
-5.56064,0.727458,-4.87791,-0.169702,0.506961,0.21219
-3.87587,0.712757,-3.16431,-0.150932,0.256768,0.194271
-3.75612,0.853675,-2.62965,-0.0508284,0.397174,0.193895
-4.02526,0.369125,-3.03474,-0.0991049,0.462595,0.176132
-0.898155,0.125825,0.0305611,-0.161945,-0.0712785,0.161878
-1.7232,0.262326,-0.946402,-0.160551,-0.0274949,0.164277
